turk_id, hit_id, num_clicks, per_Correct, per_top, per_bottom, per_timeout, pennies_paid,Value,Reason
 A1SN2TT588P7D2, 3N2YPY1GI64CPLNBQNQOY87AMFOVEV,286,0.703,0.465,0.535,0,281,True Positive,Good Users
 A2MG1LLIKMGAMX, 3VJ4PFXFJ3D9MTHZ5SEX63F0NPIUA3,272,0.706,0.551,0.449,0.026,282,True Positive,Good Users
 A1N35VV9QURKHX, 3L1EFR8WWTB6YSA4IX5YO83D7MMF9F,302,0.709,0.507,0.493,0.017,283,True Positive,Good Users
 A1EKUJGMFDI1RZ, 3FDWKV9VCN8AOUQO2V42FUA0HA4UMS,272,0.71,0.518,0.482,0.004,284,True Positive,Good Users
 A1DJDT4B5B19Q2, 359AP8GAGGQVHX21CYHD26R4FLB7CT,272,0.713,0.471,0.529,0.096,285,True Positive,Good Users
 A177EXELDLWTWV, 3VJ4PFXFJ3D9MTHZ5SEX63F0NPIUA3,272,0.717,0.507,0.493,0.026,287,True Positive,Good Users
 AAD9C0GORA5TZ, 30OITAWPBQ9QCO1ADNTYRTFQN2O9HY,272,0.717,0.596,0.404,0,287,True Positive,Good Users
 A1WXJXB4TZXKIL, 359AP8GAGGQVHX21CYHD26R4FLB7CT,272,0.717,0.625,0.375,0.015,287,False Negative,>0.6 on one choice
 A173LV77LF3SHB, 3J6BHNX0U9Y23G6CKIF0MMQ2K7FKNG,272,0.724,0.471,0.529,0.04,290,True Positive,Good Users
 A1K8U4ERJCTIQ5, 359AP8GAGGQVHX21CYHD26R4FLB7CT,272,0.724,0.5,0.5,0.004,290,True Positive,Good Users
 A2K34PD27VKGYG, 304QEQWKZPQI8BZKH45VIRBYWJI0O9,272,0.728,0.474,0.526,0.099,291,True Positive,Good Users
 A28CFZOKLSV2JA, 359AP8GAGGQVHX21CYHD26R4FLB7CT,278,0.73,0.568,0.432,0.043,292,True Positive,Good Users
 A3KYFEDDBCFQU1, 3UEBBGULPFU4IKY7G80PK4QRK8MFUY,272,0.732,0.599,0.401,0.011,293,True Positive,Good Users
 A3EJ44J2ZNRMDA, 3G9UA71JVV0IPB87MQYZPA4Z55JJ7I,272,0.732,0.562,0.438,0.004,293,True Positive,Good Users
 A90JBLDKW71DX, 3SZYX62S5G6AICTMXOU5O0LUN47571,272,0.732,0.555,0.445,0.015,293,True Positive,Good Users
 A22ZVWOXT5JNNU, 304QEQWKZPQI8BZKH45VIRBYWJI0O9,272,0.739,0.596,0.404,0.004,296,True Positive,Good Users
 A1S6C6EN8MPKC3, 30OITAWPBQ9QCO1ADNTYRTFQN2O9HY,272,0.739,0.522,0.478,0.026,296,True Positive,Good Users
 A2Y5DDEPG81LLJ, 30OITAWPBQ9QCO1ADNTYRTFQN2O9HY,275,0.742,0.524,0.476,0.029,297,True Positive,Good Users
 A1PT63J40GNSZF, 3FDWKV9VCN8AOUQO2V42FUA0HA4UMS,306,0.742,0.585,0.415,0.003,297,True Positive,Good Users
 A1OXHIJ79K3D2E, 3L4YG5VW9NYL3Y9P37FAM4JIMUFDDD,272,0.743,0.445,0.555,0.022,297,True Positive,Good Users
 A2ZGRTUDSG8VKD, 3VJ4PFXFJ3D9MTHZ5SEX63F0NPIUA3,272,0.75,0.489,0.511,0.114,300,True Positive,Good Users
 A3H4S6H2P2GO8Z, 3L4YG5VW9NYL3Y9P37FAM4JIMUFDDD,272,0.75,0.496,0.504,0.007,300,True Positive,Good Users
 A2S3MXU8T2I5H0, 3VJ4PFXFJ3D9MTHZ5SEX63F0NPIUA3,273,0.751,0.491,0.509,0.179,300,True Positive,Good Users
 A1PPGTZ7U838XJ, 3UEBBGULPFU4IKY7G80PK4QRK8MFUY,272,0.754,0.522,0.478,0.147,301,True Positive,Good Users
 AK1LW63PGAGT7, 359AP8GAGGQVHX21CYHD26R4FLB7CT,280,0.757,0.496,0.504,0.093,303,True Positive,Good Users
 A2FTE80ZLZ9MEC, 3G9UA71JVV0IPB87MQYZPA4Z55JJ7I,272,0.761,0.577,0.423,0.011,304,True Positive,Good Users
 A39QOA9M7GNF86, 3J6BHNX0U9Y23G6CKIF0MMQ2K7FKNG,272,0.765,0.507,0.493,0.026,306,True Positive,Good Users
 A3P74FP62XNVYI, 3L1EFR8WWTB6YSA4IX5YO83D7MMF9F,272,0.768,0.533,0.467,0,307,True Positive,Good Users
 A3JI3B5GTVA95F, 3L1EFR8WWTB6YSA4IX5YO83D7MMF9F,272,0.768,0.474,0.526,0,307,True Positive,Good Users
 A5EU1AQJNC7F2, 3L4YG5VW9NYL3Y9P37FAM4JIMUFDDD,272,0.779,0.574,0.426,0.004,312,True Positive,Good Users
 A2XJH3WC02RMXQ, 3SZYX62S5G6AICTMXOU5O0LUN47571,272,0.779,0.581,0.419,0.007,312,True Positive,Good Users
 A3TDA1NWHNQFE3, 3VJ4PFXFJ3D9MTHZ5SEX63F0NPIUA3,272,0.783,0.537,0.463,0,312,True Positive,Good Users
 A1DT85NV46PRGD, 3N2YPY1GI64CPLNBQNQOY87AMFOVEV,272,0.783,0.518,0.482,0.103,312,True Positive,Good Users
 A2T321GO5NUCQY, 3N2YPY1GI64CPLNBQNQOY87AMFOVEV,272,0.783,0.544,0.456,0,312,True Positive,Good Users
 A2J5DN5UMU0A3Z, 3L1EFR8WWTB6YSA4IX5YO83D7MMF9F,272,0.787,0.559,0.441,0,314,True Positive,Good Users
 A1E5OJK3FPV44C, 3N2YPY1GI64CPLNBQNQOY87AMFOVEV,272,0.787,0.544,0.456,0.011,314,True Positive,Good Users
 A2AO7QP5THYKQF, 3UEBBGULPFU4IKY7G80PK4QRK8MFUY,272,0.79,0.548,0.452,0,315,True Positive,Good Users
 A2J237J8KM3OCS, 3G9UA71JVV0IPB87MQYZPA4Z55JJ7I,272,0.79,0.581,0.419,0.015,315,True Positive,Good Users
 A2P065E9CYMYJL, 3VJ4PFXFJ3D9MTHZ5SEX63F0NPIUA3,272,0.794,0.515,0.485,0.029,318,True Positive,Good Users
 A3V70AZ39FPZ5V, 304QEQWKZPQI8BZKH45VIRBYWJI0O9,272,0.794,0.449,0.551,0,318,True Positive,Good Users
 AGDFBU9CK6Z9R, 3N2YPY1GI64CPLNBQNQOY87AMFOVEV,272,0.794,0.511,0.489,0.092,318,True Positive,Good Users
 AU2NVT51E749C, 30OITAWPBQ9QCO1ADNTYRTFQN2O9HY,272,0.798,0.537,0.463,0,319,True Positive,Good Users
 AYXIDCIGUA037, 359AP8GAGGQVHX21CYHD26R4FLB7CT,272,0.798,0.522,0.478,0,319,True Positive,Good Users
 A3885G6NQ9V27J, 3L1EFR8WWTB6YSA4IX5YO83D7MMF9F,272,0.801,0.515,0.485,0,321,True Positive,Good Users
 A1VLZL3CA1WMPT, 3L1EFR8WWTB6YSA4IX5YO83D7MMF9F,272,0.801,0.515,0.485,0.015,321,True Positive,Good Users
 A1U3KTAUMV7QKT, 30OITAWPBQ9QCO1ADNTYRTFQN2O9HY,272,0.801,0.562,0.438,0.004,321,True Positive,Good Users
 ARJPGBHF5X1HF, 3UEBBGULPFU4IKY7G80PK4QRK8MFUY,272,0.801,0.544,0.456,0.011,321,True Positive,Good Users
 AJ94N3I1A434D, 3N2YPY1GI64CPLNBQNQOY87AMFOVEV,272,0.801,0.504,0.496,0.062,321,True Positive,Good Users
 A2NA2OJT15COZY, 3L4YG5VW9NYL3Y9P37FAM4JIMUFDDD,272,0.809,0.562,0.438,0.018,324,True Positive,Good Users
 A3TG7IASNFKDIF, 359AP8GAGGQVHX21CYHD26R4FLB7CT,272,0.809,0.551,0.449,0.081,324,True Positive,Good Users
 A1TQ5B2S7CQ5L1, 3FDWKV9VCN8AOUQO2V42FUA0HA4UMS,272,0.809,0.449,0.551,0.007,324,True Positive,Good Users
 ADKKDK6P4MS1Z, 3G9UA71JVV0IPB87MQYZPA4Z55JJ7I,273,0.81,0.473,0.527,0.081,324,True Positive,Good Users
 A3066746SS2O8Z, 3FDWKV9VCN8AOUQO2V42FUA0HA4UMS,273,0.81,0.495,0.505,0.004,324,True Positive,Good Users
 A2EEL9YYUHL5SK, 3N2YPY1GI64CPLNBQNQOY87AMFOVEV,272,0.812,0.5,0.5,0.007,325,True Positive,Good Users
 A3NG6M8UG9U20J, 3J6BHNX0U9Y23G6CKIF0MMQ2K7FKNG,273,0.817,0.538,0.462,0.022,327,True Positive,Good Users
 A335F237PMK2AN, 304QEQWKZPQI8BZKH45VIRBYWJI0O9,273,0.817,0.535,0.465,0.015,327,True Positive,Good Users
 A1BNR1ZAF1QGWG, 3UEBBGULPFU4IKY7G80PK4QRK8MFUY,275,0.818,0.538,0.462,0.007,327,True Positive,Good Users
 A2K9BO7DWZLNMA, 3L4YG5VW9NYL3Y9P37FAM4JIMUFDDD,272,0.82,0.511,0.489,0.018,328,True Positive,Good Users
 A37S72JHDSZJY9, 30OITAWPBQ9QCO1ADNTYRTFQN2O9HY,272,0.82,0.529,0.471,0,328,True Positive,Good Users
 A2CY1G4VJV3G85, 3UEBBGULPFU4IKY7G80PK4QRK8MFUY,272,0.82,0.544,0.456,0.04,328,True Positive,Good Users
 AUVC78LEL0T6L, 3FDWKV9VCN8AOUQO2V42FUA0HA4UMS,272,0.82,0.522,0.478,0.007,328,True Positive,Good Users
 AMERD84D2MGKR, 3L4YG5VW9NYL3Y9P37FAM4JIMUFDDD,272,0.827,0.522,0.478,0.011,331,True Positive,Good Users
 A2AOBW5F65D5D, 3L1EFR8WWTB6YSA4IX5YO83D7MMF9F,272,0.831,0.544,0.456,0,332,True Positive,Good Users
 A3G55RJTW3BSGM, 3UEBBGULPFU4IKY7G80PK4QRK8MFUY,272,0.831,0.489,0.511,0.136,332,True Positive,Good Users
 AKLV0WIZZ356X, 3SZYX62S5G6AICTMXOU5O0LUN47571,272,0.831,0.511,0.489,0.004,332,True Positive,Good Users
 A3OCBPXIEIWOHV, 3VJ4PFXFJ3D9MTHZ5SEX63F0NPIUA3,272,0.835,0.504,0.496,0.004,334,True Positive,Good Users
 A16CLW141KFQE4, 3L4YG5VW9NYL3Y9P37FAM4JIMUFDDD,272,0.835,0.562,0.438,0.018,334,True Positive,Good Users
 AAJEPFSQNC6X, 304QEQWKZPQI8BZKH45VIRBYWJI0O9,272,0.835,0.471,0.529,0.007,334,True Positive,Good Users
 A1TLNLB9D87H6, 3SZYX62S5G6AICTMXOU5O0LUN47571,272,0.835,0.467,0.533,0.015,334,True Positive,Good Users
 A1Q5KU5RVDE67, 3FDWKV9VCN8AOUQO2V42FUA0HA4UMS,272,0.835,0.493,0.507,0.004,334,True Positive,Good Users
 A2XM6C78S9L8UG, 30OITAWPBQ9QCO1ADNTYRTFQN2O9HY,272,0.842,0.504,0.496,0.015,337,True Positive,Good Users
 A1E19W3O1EQYA, 3G9UA71JVV0IPB87MQYZPA4Z55JJ7I,272,0.842,0.526,0.474,0.007,337,True Positive,Good Users
 ANK8K5WTHJ61C, 30OITAWPBQ9QCO1ADNTYRTFQN2O9HY,272,0.842,0.504,0.496,0.004,337,True Positive,Good Users
 A2602OOFDKNFS8, 3VJ4PFXFJ3D9MTHZ5SEX63F0NPIUA3,275,0.844,0.596,0.404,0,337,True Positive,Good Users
 A1SZZ9S12FYSJ6, 3UEBBGULPFU4IKY7G80PK4QRK8MFUY,272,0.846,0.57,0.43,0.059,338,True Positive,Good Users
 A1JDDBMSI4TBXN, 3FDWKV9VCN8AOUQO2V42FUA0HA4UMS,272,0.846,0.493,0.507,0,338,True Positive,Good Users
 A1GLF2427E02YG, 3VJ4PFXFJ3D9MTHZ5SEX63F0NPIUA3,272,0.849,0.507,0.493,0.026,340,True Positive,Good Users
 A3L1VB6K50WQ44, 3N2YPY1GI64CPLNBQNQOY87AMFOVEV,272,0.849,0.478,0.522,0.004,340,True Positive,Good Users
 A2G7N0X0PNX0EE, 3G9UA71JVV0IPB87MQYZPA4Z55JJ7I,272,0.853,0.518,0.482,0.11,341,True Positive,Good Users
 AK37IEOYWN5YH, 304QEQWKZPQI8BZKH45VIRBYWJI0O9,272,0.857,0.482,0.518,0.015,343,True Positive,Good Users
 AEXYBW3COL9JM, 3J6BHNX0U9Y23G6CKIF0MMQ2K7FKNG,272,0.86,0.471,0.529,0.007,344,True Positive,Good Users
 A3AE627X3R2JQI, 304QEQWKZPQI8BZKH45VIRBYWJI0O9,272,0.86,0.518,0.482,0.007,344,True Positive,Good Users
 A2MCWAOOZ5OF37, 3FDWKV9VCN8AOUQO2V42FUA0HA4UMS,272,0.868,0.507,0.493,0.007,347,True Positive,Good Users
 A3CGBLXKSG8NEN, 3UEBBGULPFU4IKY7G80PK4QRK8MFUY,272,0.871,0.482,0.518,0.044,349,True Positive,Good Users
 A28TSVAGZWJI2I, 3G9UA71JVV0IPB87MQYZPA4Z55JJ7I,273,0.879,0.513,0.487,0.007,352,True Positive,Good Users
 A36SLI8M50AIN3, 3G9UA71JVV0IPB87MQYZPA4Z55JJ7I,272,0.901,0.438,0.562,0.004,360,True Positive,Good Users
 A40LU73SS18IW, 3VJ4PFXFJ3D9MTHZ5SEX63F0NPIUA3,272,0.919,0.544,0.456,0.015,368,True Positive,Good Users
